# BLASTN 2.9.0+
# Query: frag_5_NC_002014.1 Fragment 5 of NC_002014.1 Enterobacteria phage Ike, complete genome
# Database: ./database/ALL_140821_hr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
frag_5_NC_002014.1	NC_002014	100.000	500	0	0	1	500	2001	2500	0.0	902
frag_5_NC_002014.1	NC_001332	96.008	501	18	2	1	500	4894	5393	0.0	807
frag_5_NC_002014.1	NC_015279	82.979	47	7	1	85	130	46663	46709	4.82e-04	46.4
frag_5_NC_002014.1	JF713456	96.296	27	0	1	30	55	26126	26152	0.021	41.9
# BLASTN 2.9.0+
# Query: frag_230_NC_027355.1 Fragment 230 of NC_027355.1 Bacillus phage BCP8-2, complete genome
# Database: ./database/ALL_140821_hr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 8 hits found
frag_230_NC_027355.1	NC_024137	92.176	409	30	2	91	499	106798	106392	6.65e-167	587
frag_230_NC_027355.1	NC_024137	80.000	45	9	0	5	49	106907	106863	0.021	41.9
frag_230_NC_027355.1	NC_020873	81.951	410	73	1	91	500	79162	79570	1.57e-111	403
frag_230_NC_027355.1	NC_020873	80.000	55	11	0	5	59	79106	79160	3.96e-05	50.9
frag_230_NC_027355.1	JN797798	70.297	505	129	11	5	500	74084	74576	8.15e-52	205
frag_230_NC_027355.1	NC_024205	72.000	100	24	3	373	470	113037	112940	0.002	45.5
frag_230_NC_027355.1	NC_018856	72.000	100	24	3	373	470	88035	87938	0.002	45.5
frag_230_NC_027355.1	KC330681	92.593	27	2	0	80	106	9154	9128	0.021	41.0
# BLASTN 2.9.0+
# Query: frag_10_NC_033149.1 Fragment 10 of NC_033149.1 Sanxia tombus-like virus 9 strain SXXX37849 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds
# Database: ./database/ALL_140821_hr
# 0 hits found
# BLASTN 2.9.0+
# Query: frag_98_NC_054782.1 Fragment 98 of NC_054782.1 Mycobacterium phage Koko, complete genome
# Database: ./database/ALL_140821_hr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 33 hits found
frag_98_NC_054782.1	6666666.3713	99.799	498	1	0	3	500	47873	48370	0.0	894
frag_98_NC_054782.1	NC_022965	99.400	500	3	0	1	500	48166	48665	0.0	889
frag_98_NC_054782.1	6666666.3755	89.400	500	53	0	1	500	47031	47530	0.0	664
frag_98_NC_054782.1	KF017927	73.431	478	108	9	1	467	48515	48984	2.84e-70	267
frag_98_NC_054782.1	NC_008203	73.474	475	113	8	1	467	48169	48638	9.92e-70	265
frag_98_NC_054782.1	NC_022058	71.670	473	125	5	1	467	48090	48559	4.81e-61	235
frag_98_NC_054782.1	NC_001335	79.524	210	39	3	258	467	48105	48310	3.95e-43	176
frag_98_NC_054782.1	NC_001335	76.119	67	14	2	27	92	47892	47957	0.006	42.8
frag_98_NC_054782.1	NC_023607	77.561	205	39	3	292	491	49627	49829	3.70e-37	156
frag_98_NC_054782.1	NC_011023	76.636	214	46	2	286	497	49365	49576	3.70e-37	156
frag_98_NC_054782.1	NC_023707	70.120	251	58	9	263	500	49462	49708	4.51e-17	90.6
frag_98_NC_054782.1	NC_023553	70.796	226	56	7	283	500	49164	49387	1.58e-16	88.7
frag_98_NC_054782.1	NC_023606	71.200	250	48	14	261	500	49593	49828	5.50e-16	86.0
